location_id,sensors_id,location,datetime,lat,lon,parameter,units,value
4588,11383,FI00564-4588,2023-01-01T01:00:00+02:00,60.1696399995371,24.93924,pm10,µg/m³,22.40617
4588,11383,FI00564-4588,2023-01-01T02:00:00+02:00,60.1696399995371,24.93924,pm10,µg/m³,12.14316
4588,11383,FI00564-4588,2023-01-01T03:00:00+02:00,60.1696399995371,24.93924,pm10,µg/m³,10.40554
4588,11383,FI00564-4588,2023-01-01T04:00:00+02:00,60.1696399995371,24.93924,pm10,µg/m³,8.771055
4588,11383,FI00564-4588,2023-01-01T05:00:00+02:00,60.1696399995371,24.93924,pm10,µg/m³,11.55008
4588,11383,FI00564-4588,2023-01-01T06:00:00+02:00,60.1696399995371,24.93924,pm10,µg/m³,7.874624
4588,11383,FI00564-4588,2023-01-01T07:00:00+02:00,60.1696399995371,24.93924,pm10,µg/m³,6.514533
4588,11383,FI00564-4588,2023-01-01T08:00:00+02:00,60.1696399995371,24.93924,pm10,µg/m³,5.730676
4588,11383,FI00564-4588,2023-01-01T09:00:00+02:00,60.1696399995371,24.93924,pm10,µg/m³,4.948361
4588,11383,FI00564-4588,2023-01-01T10:00:00+02:00,60.1696399995371,24.93924,pm10,µg/m³,5.291836
4588,11383,FI00564-4588,2023-01-01T11:00:00+02:00,60.1696399995371,24.93924,pm10,µg/m³,5.260633
4588,11383,FI00564-4588,2023-01-01T12:00:00+02:00,60.1696399995371,24.93924,pm10,µg/m³,5.497964
4588,11383,FI00564-4588,2023-01-01T13:00:00+02:00,60.1696399995371,24.93924,pm10,µg/m³,4.964168
4588,11383,FI00564-4588,2023-01-01T14:00:00+02:00,60.1696399995371,24.93924,pm10,µg/m³,5.14367
4588,11383,FI00564-4588,2023-01-01T15:00:00+02:00,60.1696399995371,24.93924,pm10,µg/m³,5.033538
4588,11383,FI00564-4588,2023-01-01T16:00:00+02:00,60.1696399995371,24.93924,pm10,µg/m³,5.969805
4588,11383,FI00564-4588,2023-01-01T17:00:00+02:00,60.1696399995371,24.93924,pm10,µg/m³,6.027458
4588,11383,FI00564-4588,2023-01-01T18:00:00+02:00,60.1696399995371,24.93924,pm10,µg/m³,6.409914
4588,11383,FI00564-4588,2023-01-01T19:00:00+02:00,60.1696399995371,24.93924,pm10,µg/m³,5.808437
4588,11383,FI00564-4588,2023-01-01T20:00:00+02:00,60.1696399995371,24.93924,pm10,µg/m³,5.785728
4588,11383,FI00564-4588,2023-01-01T21:00:00+02:00,60.1696399995371,24.93924,pm10,µg/m³,5.343648
4588,11383,FI00564-4588,2023-01-01T22:00:00+02:00,60.1696399995371,24.93924,pm10,µg/m³,4.697644
4588,11383,FI00564-4588,2023-01-01T23:00:00+02:00,60.1696399995371,24.93924,pm10,µg/m³,5.399233
4588,11383,FI00564-4588,2023-01-02T00:00:00+02:00,60.1696399995371,24.93924,pm10,µg/m³,5.097245
4588,11382,FI00564-4588,2023-01-01T01:00:00+02:00,60.1696399995371,24.93924,pm25,µg/m³,18.458
4588,11382,FI00564-4588,2023-01-01T02:00:00+02:00,60.1696399995371,24.93924,pm25,µg/m³,8.838117
4588,11382,FI00564-4588,2023-01-01T03:00:00+02:00,60.1696399995371,24.93924,pm25,µg/m³,7.374558
4588,11382,FI00564-4588,2023-01-01T04:00:00+02:00,60.1696399995371,24.93924,pm25,µg/m³,6.134746
4588,11382,FI00564-4588,2023-01-01T05:00:00+02:00,60.1696399995371,24.93924,pm25,µg/m³,8.307419
4588,11382,FI00564-4588,2023-01-01T06:00:00+02:00,60.1696399995371,24.93924,pm25,µg/m³,5.338459
4588,11382,FI00564-4588,2023-01-01T07:00:00+02:00,60.1696399995371,24.93924,pm25,µg/m³,3.925767
4588,11382,FI00564-4588,2023-01-01T08:00:00+02:00,60.1696399995371,24.93924,pm25,µg/m³,3.339089
4588,11382,FI00564-4588,2023-01-01T09:00:00+02:00,60.1696399995371,24.93924,pm25,µg/m³,3.01632
4588,11382,FI00564-4588,2023-01-01T10:00:00+02:00,60.1696399995371,24.93924,pm25,µg/m³,3.032734
4588,11382,FI00564-4588,2023-01-01T11:00:00+02:00,60.1696399995371,24.93924,pm25,µg/m³,2.967882
4588,11382,FI00564-4588,2023-01-01T12:00:00+02:00,60.1696399995371,24.93924,pm25,µg/m³,3.310762
4588,11382,FI00564-4588,2023-01-01T13:00:00+02:00,60.1696399995371,24.93924,pm25,µg/m³,3.026036
4588,11382,FI00564-4588,2023-01-01T14:00:00+02:00,60.1696399995371,24.93924,pm25,µg/m³,2.895278
4588,11382,FI00564-4588,2023-01-01T15:00:00+02:00,60.1696399995371,24.93924,pm25,µg/m³,2.801928
4588,11382,FI00564-4588,2023-01-01T16:00:00+02:00,60.1696399995371,24.93924,pm25,µg/m³,2.989549
4588,11382,FI00564-4588,2023-01-01T17:00:00+02:00,60.1696399995371,24.93924,pm25,µg/m³,3.159487
4588,11382,FI00564-4588,2023-01-01T18:00:00+02:00,60.1696399995371,24.93924,pm25,µg/m³,3.635556
4588,11382,FI00564-4588,2023-01-01T19:00:00+02:00,60.1696399995371,24.93924,pm25,µg/m³,3.38184
4588,11382,FI00564-4588,2023-01-01T20:00:00+02:00,60.1696399995371,24.93924,pm25,µg/m³,3.121517
4588,11382,FI00564-4588,2023-01-01T21:00:00+02:00,60.1696399995371,24.93924,pm25,µg/m³,2.547741
4588,11382,FI00564-4588,2023-01-01T22:00:00+02:00,60.1696399995371,24.93924,pm25,µg/m³,2.557339
4588,11382,FI00564-4588,2023-01-01T23:00:00+02:00,60.1696399995371,24.93924,pm25,µg/m³,2.539787
4588,11382,FI00564-4588,2023-01-02T00:00:00+02:00,60.1696399995371,24.93924,pm25,µg/m³,2.569644
4588,11386,FI00564-4588,2023-01-01T01:00:00+02:00,60.1696399995371,24.93924,no2,µg/m³,11.67853
4588,11386,FI00564-4588,2023-01-01T02:00:00+02:00,60.1696399995371,24.93924,no2,µg/m³,16.18839
4588,11386,FI00564-4588,2023-01-01T03:00:00+02:00,60.1696399995371,24.93924,no2,µg/m³,13.31971
4588,11386,FI00564-4588,2023-01-01T04:00:00+02:00,60.1696399995371,24.93924,no2,µg/m³,8.999763
4588,11386,FI00564-4588,2023-01-01T05:00:00+02:00,60.1696399995371,24.93924,no2,µg/m³,11.56399
4588,11386,FI00564-4588,2023-01-01T06:00:00+02:00,60.1696399995371,24.93924,no2,µg/m³,11.22476
4588,11386,FI00564-4588,2023-01-01T07:00:00+02:00,60.1696399995371,24.93924,no2,µg/m³,5.919553
4588,11386,FI00564-4588,2023-01-01T08:00:00+02:00,60.1696399995371,24.93924,no2,µg/m³,7.491264
4588,11386,FI00564-4588,2023-01-01T09:00:00+02:00,60.1696399995371,24.93924,no2,µg/m³,6.115915
4588,11386,FI00564-4588,2023-01-01T10:00:00+02:00,60.1696399995371,24.93924,no2,µg/m³,7.963122
4588,11386,FI00564-4588,2023-01-01T11:00:00+02:00,60.1696399995371,24.93924,no2,µg/m³,8.567391
4588,11386,FI00564-4588,2023-01-01T12:00:00+02:00,60.1696399995371,24.93924,no2,µg/m³,10.97815
4588,11386,FI00564-4588,2023-01-01T13:00:00+02:00,60.1696399995371,24.93924,no2,µg/m³,12.26366
4588,11386,FI00564-4588,2023-01-01T14:00:00+02:00,60.1696399995371,24.93924,no2,µg/m³,13.8612
4588,11386,FI00564-4588,2023-01-01T15:00:00+02:00,60.1696399995371,24.93924,no2,µg/m³,13.66828
4588,11386,FI00564-4588,2023-01-01T16:00:00+02:00,60.1696399995371,24.93924,no2,µg/m³,16.36598
4588,11386,FI00564-4588,2023-01-01T17:00:00+02:00,60.1696399995371,24.93924,no2,µg/m³,15.82515
4588,11386,FI00564-4588,2023-01-01T18:00:00+02:00,60.1696399995371,24.93924,no2,µg/m³,14.79991
4588,11386,FI00564-4588,2023-01-01T19:00:00+02:00,60.1696399995371,24.93924,no2,µg/m³,16.01998
4588,11386,FI00564-4588,2023-01-01T20:00:00+02:00,60.1696399995371,24.93924,no2,µg/m³,14.41199
4588,11386,FI00564-4588,2023-01-01T21:00:00+02:00,60.1696399995371,24.93924,no2,µg/m³,9.0516
4588,11386,FI00564-4588,2023-01-01T22:00:00+02:00,60.1696399995371,24.93924,no2,µg/m³,8.047232
4588,11386,FI00564-4588,2023-01-01T23:00:00+02:00,60.1696399995371,24.93924,no2,µg/m³,5.916002
4588,11386,FI00564-4588,2023-01-02T00:00:00+02:00,60.1696399995371,24.93924,no2,µg/m³,4.624297
